"AAPL.High","AAPL.Open","AAPL.Close","AAPL.Low","AAPL.Volume","AAPL.Adjusted","AAPL.High.SMA50","AAPL.Open.SMA50","AAPL.Close.SMA50","AAPL.Low.SMA50","AAPL.Volume.SMA50","AAPL.Adjusted.SMA50","AAPL.High.SMA200","AAPL.Open.SMA200","AAPL.Close.SMA200","AAPL.Low.SMA200","AAPL.Volume.SMA200","AAPL.Adjusted.SMA200","crosses"
32.392502,31.99,31.785,31.264999,354114000,28.976242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31.805,31.602501,31.127501,30.950001,275426400,28.376841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31.192499,31.1875,30.559999,30.5275,275756000,27.859491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31.225,30.577499,31.112499,30.407499,193450800,28.363159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31.35,31.1,30.897499,30.645,207309200,28.167162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31.237499,30.969999,31.237499,30.717501,143497200,28.477116,30.23060012,29.96364984,29.9145999,29.59005002,244090040,27.22507602,NA,NA,NA,NA,NA,NA,NA
31.83,31.475,31.76,31.4125,204092400,28.953447,30.3100001,30.03619984,30.0031499,29.68155002,243915520,27.30776014,NA,NA,NA,NA,NA,NA,NA
32.290001,31.75,32.1175,31.592501,261083600,29.279362,30.41255012,30.12974984,30.1142499,29.78635002,243994352,27.41094648,NA,NA,NA,NA,NA,NA,NA
32.3125,32.1875,31.875,31.85,183238000,29.058285,30.52165012,30.24079984,30.22044988,29.90020004,242395344,27.50966578,NA,NA,NA,NA,NA,NA,NA
32.099998,32.0625,31.475,31.290001,274780400,28.693634,30.6226501,30.34604986,30.31119988,29.99250008,244682480,27.59432718,NA,NA,NA,NA,NA,NA,NA
31.9625,31.780001,31.8025,31.629999,150838800,28.992193,30.7011501,30.43549986,30.38779988,30.08160008,242950096,27.66616308,NA,NA,NA,NA,NA,NA,NA
32.009998,31.807501,31.672501,31.639999,131369200,28.87368,30.77510006,30.50829988,30.46119988,30.16335006,241281520,27.73508398,NA,NA,NA,NA,NA,NA,NA
31.705,31.635,30.844999,30.844999,206620800,28.119303,30.84605008,30.57799988,30.53184986,30.23625002,241441872,27.80144838,NA,NA,NA,NA,NA,NA,NA
31.219999,30.690001,31.059999,30.65,190291600,28.315313,30.90645004,30.6346499,30.60194984,30.3047,239880352,27.867329,NA,NA,NA,NA,NA,NA,NA
